route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off
3642,200,A3642,BASAURI - HOSPITAL GALDAKAO OSPITALEA (Bengoetxe),A3642-BASAURI - HOSPITAL GALDAKAO OSPITALEA (Bengoetxe),3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A3642&numRuta=001,9CCD64,01573C,83,1,1
3911,200,A3911,BILBAO-HOSPITAL GALDAKAO OSPITALEA-LEMOA-DURANGO-ELORRIO,A3911-BILBAO-HOSPITAL GALDAKAO OSPITALEA-LEMOA-DURANGO-ELORRIO,3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A3911&numRuta=001,9CCD64,01573C,84,1,1
3912,200,A3912,BILBAO-HOSPITAL GALDAKAO OSPITALEA-LEMOA-DURANGO-ERMUA-EIBAR,A3912-BILBAO-HOSPITAL GALDAKAO OSPITALEA-LEMOA-DURANGO-ERMUA-EIBAR,3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A3912&numRuta=001,9CCD64,01573C,85,1,1
3913,200,A3913,ARRAZOLA - DURANGO,A3913-ARRAZOLA - DURANGO,3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A3913&numRuta=001,9CCD64,01573C,86,1,1
3915,200,A3915,BILBAO-DURANGO-ONDARROA (Autopista),A3915-BILBAO-DURANGO-ONDARROA (Autopista),3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A3915&numRuta=001,9CCD64,01573C,87,1,1
3916,200,A3916,BILBAO-ERMUA-ONDARROA (Autopista),A3916-BILBAO-ERMUA-ONDARROA (Autopista),3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A3916&numRuta=001,9CCD64,01573C,88,1,1
3917,200,A3917,BILBAO-HOSPITAL GALDAKAO OSPITALEA-LEMOA-ZEANURI,A3917-BILBAO-HOSPITAL GALDAKAO OSPITALEA-LEMOA-ZEANURI,3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A3917&numRuta=001,9CCD64,01573C,89,1,1
3923,200,A3923,BILBAO-DURANGO-ELORRIO (Autopista),A3923-BILBAO-DURANGO-ELORRIO (Autopista),3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A3923&numRuta=001,9CCD64,01573C,90,1,1
3924,200,A3924,ERMUA - DURANGO - UPV/EHU,A3924-ERMUA - DURANGO - UPV/EHU,3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A3924&numRuta=001,9CCD64,01573C,91,1,1
3925,200,A3925,BILBAO-LEMOA-OTXANDIO-UBIDE,A3925-BILBAO-LEMOA-OTXANDIO-UBIDE,3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A3925&numRuta=001,9CCD64,01573C,92,1,1
3926,200,A3926,BILBAO-ERMUA-EIBAR (Autopista),A3926-BILBAO-ERMUA-EIBAR (Autopista),3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A3926&numRuta=001,9CCD64,01573C,93,1,1
3927,200,A3927,BILBAO-LEMOA-ZEANURI Autopista,A3927-BILBAO-LEMOA-ZEANURI Autopista,3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A3927&numRuta=001,9CCD64,01573C,94,1,1
3928,200,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,A3928-ARTEA - ZEBERIO - UGAO MIRABALLES,3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A3928&numRuta=001,9CCD64,01573C,95,1,1
3930,200,A3930,BILBAO - GALDAKAO (Autopista),A3930-BILBAO - GALDAKAO (Autopista),3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A3930&numRuta=001,9CCD64,01573C,96,1,1
3932,200,A3932,GALDAKAO - Metro BOLUETA,A3932-GALDAKAO - Metro BOLUETA,3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A3932&numRuta=001,9CCD64,01573C,97,1,1
3933,200,A3933,BILBAO - DURANGO (Autopista),A3933-BILBAO - DURANGO (Autopista),3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A3933&numRuta=001,9CCD64,01573C,98,1,1
